Bread Sticks,"[""2 c. self-rising flour"", ""2 Tbsp. melted butter"", ""milk (enough to make a good consistency)""]","[""In mixing bowl, combine flour and butter, stirring butter into flour and then add milk to desired consistency."", ""Batter should not be thin but have a texture that will hold its shape when out on flour surface (wax paper).""]","[""flour"", ""butter"", ""milk""]"
Nancy Luthy'S Festive Chowder,"[""2 Tbsp. butter"", ""1 medium onion"", ""5 c. milk"", ""6 slices cooked, crumbled bacon"", ""1 pkg. Crab Delights (flakes or chunks)"", ""1 c. sliced celery"", ""2 Tbsp. flour"", ""3 large potatoes (1/2-inch slices)""]","[""Melt butter in saucepan."", ""Stir in celery and chopped onion; cook until tender."", ""Stir in flour, salt and pepper, if desired. Gradually add milk, stirring constantly."", ""Add potatoes."", ""Bring to boil; simmer 15 minutes, until potatoes are tender."", ""Add bacon and Crab Delights."", ""Heat 3 to 5 minutes more."", ""Makes 4 servings.""]","[""butter"", ""onion"", ""milk"", ""bacon"", ""celery"", ""flour"", ""potatoes""]"
Homemade Cheese Dip,"[""1 large cream cheese"", ""1 slice onion, chopped super fine"", ""3 Tbsp. canned milk""]","[""At room temperature, cream onion, cheese and canned cream together."", ""Add more cream, if too thick."", ""Serve with chips.""]","[""cream cheese"", ""onion"", ""milk""]"
Cowboy Potatoes,"[""6 - 8 potatoes"", ""6 slices bacon"", ""1/2 cup onion, chopped"", ""1/2 cup bell pepper, chopped""]","[""Bake potatoes."", ""Let cool."", ""Peel and cube."", ""In large skillet, fry bacon."", ""Remove bacon and allow to cool, then crumble."", ""Saute onions and peppers in bacon drippings."", ""Add potatoes and stir, heating thoroughly."", ""Add bacon last."", ""Serve while hot.""]","[""potatoes"", ""bacon"", ""onion"", ""bell pepper""]"
Sourdough Biscuits,"[""2 c. flour"", ""1 stick butter"", ""1 pt. sour cream""]","[""Add all ingredients together."", ""Roll small balls together and pat."", ""Place on lightly greased cookie sheet."", ""Bake at 425\u00b0 for 20 minutes or until done.""]","[""flour"", ""butter"", ""sour cream""]"
Miniature Pastry Shells,"[""1 (3 oz.) pkg. cream cheese"", ""1/4 lb. stick butter"", ""1 c. unsifted flour""]","[""Into a medium mixing bowl, turn cheese and butter."", ""Let stand at room temperature to soften. With a wooden spoon, blend thoroughly. Gradually work in flour."", ""Press dough flat in bowl and refrigerate about 30 minutes."", ""With a knife or spatula, mark off dough into 24 equal portions."", ""Roll each portion into a ball, then press over bottom and sides (up to top) of small muffin pan cups, each about 1 3/4-inches in diameter."", ""Use as directed in recipe for Crab Tarts."", ""Makes 24 tarts.""]","[""cream cheese"", ""butter"", ""flour""]"
Kolaches,"[""large pkg. cream cheese"", ""cups flour, sifted"", ""lb. butter""]","[""Cream the cream cheese and butter together; add flour and knead."", ""Cover and put in refrigerator for at least 3 hours."", ""Cut dough into quarters. Roll out on powdered sugar 1/8-inch thick. Cut into 2-inch squares."", ""Fill."", ""Bake at 400\u00b0 for 12 to 15 minutes.""]","[""cream cheese"", ""flour"", ""butter""]"
Cheez Whiz Bake,"[""6 medium potatoes, cooked"", ""2 c. sour cream"", ""1 small jar Cheez Whiz"", ""1 tsp. minced onion""]","[""Cube the cooked potatoes and mix with the other ingredients. Place in greased casserole dish and bake 45 minutes at 350\u00b0.""]","[""potatoes"", ""sour cream"", ""onion""]"
Sour Cream Muffins,"[""1 cup self rising flour"", ""1 cup sour cream"", ""1/2 cup butter""]","[""Combine all ingredients, grease and lightly flour 24 mini muffin tins. Put equal amounts into each tin. Bake for 10 minutes or until lightly browned.""]","[""flour"", ""sour cream"", ""butter""]"
Bill'S Mashed Potatoes,"[""5 lb. potatoes"", ""1 large onion, chopped (optional)"", ""1 stick butter or oleo"", ""milk for mashing""]","[""Peel, cook and dice potatoes."", ""Cook chopped onion in milk. Do not let boil."", ""Melt stick of butter in hot onion milk mixture. Mash potatoes with the hot onion milk butter mixture."", ""Beat until creamy."", ""Put cool potatoes in individual packages and store in freezer."", ""When ready to use, thaw out,"", ""place in Corning Ware dish and reheat in a steamer."", ""Will taste like fresh mashed potatoes.""]","[""potatoes"", ""onion"", ""butter"", ""milk""]"
Mayonnaise Biscuits,"[""1 c. self-rising flour"", ""2 Tbsp. mayonnaise"", ""as much milk as needed""]","[""Blend with spoon and shape with butter on top."", ""Bake until done.""]","[""flour"", ""mayonnaise"", ""milk""]"
Bisquick,"[""2 c. self-rising flour"", ""2 Tbsp. mayonnaise"", ""1 c. milk""]","[""Bake at 400\u00b0 for 10 to 12 minutes.""]","[""flour"", ""mayonnaise"", ""milk""]"
Party Potatoes,"[""8 to 10 potatoes"", ""8 oz. cream cheese"", ""1 c. sour cream"", ""milk"", ""1/4 tsp. garlic or onion salt""]","[""Boil potatoes."", ""Drain."", ""Mash."", ""Combine cream cheese and sour cream and add to potatoes."", ""Add enough milk to make creamy consistency."", ""Add 1/4 to 1/2 teaspoon garlic salt and onion if desired."", ""Put in 2-quart casserole."", ""Bake 45 minutes at 350\u00b0."", ""May be frozen."", ""Thaw before baking."", ""May sprinkle cheese on top."", ""Will keep two weeks in refrigerator.""]","[""potatoes"", ""cream cheese"", ""sour cream"", ""milk"", ""garlic""]"
French Toast,"[""1 egg"", ""1/3 c. milk"", ""1 tsp. butter"", ""4 slices bread""]","[""Beat egg until frothy."", ""Add milk; beat well."", ""Melt butter in skillet on low heat."", ""Dip bread slices, one at a time, into egg mixture."", ""Lift them into skillet with pancake turner."", ""Brown on each side."", ""Serve with confectioners sugar, maple syrup or cinnamon and sugar, if desired.""]","[""egg"", ""milk"", ""butter"", ""bread""]"
Texas Hash,"[""1 lb. ground beef"", ""1 onion, chopped"", ""1 bell pepper, chopped"", ""1 c. diced celery"", ""1/2 c. uncooked rice"", ""1 can tomatoes""]","[""Slowly cook meat, onion, celery and bell pepper until celery and onion are tender."", ""Add uncooked rice and tomatoes."", ""Add salt and pepper to taste."", ""Simmer about 45 minutes.""]","[""ground beef"", ""onion"", ""bell pepper"", ""celery"", ""rice"", ""tomatoes""]"
Easy Rolls,"[""1 c. self-rising flour"", ""1/4 c. mayonnaise"", ""1/2 c. milk""]","[""Mix well and drop by spoonfuls into muffin tin."", ""Bake at 350\u00b0 for 10 minutes or until golden brown.""]","[""flour"", ""mayonnaise"", ""milk""]"
Hungarian Pastry,"[""1/2 lb. butter"", ""1/2 lb. cream cheese"", ""1 3/4 c. flour""]","[""Mix well by hand until no more yellow or white shows."", ""Flatten out, wrap in waxed paper and store in refrigerator overnight.""]","[""butter"", ""cream cheese"", ""flour""]"
Mashed Potatoes With Cream Cheese And Onion Dip,"[""16 potatoes (approximately)"", ""2 (8 oz.) pkg. cream cheese"", ""2 pkg. French onion dip (Kraft)""]","[""Boil potatoes and mash."", ""Add cream cheese and onion dip."", ""Whip as usual."", ""Makes plenty for large crowd.""]","[""potatoes"", ""cream cheese"", ""onion""]"
Rice And Beef Casserole,"[""1 lb. ground beef"", ""1 c. canned tomatoes"", ""1 c. cooked rice"", ""1/2 stick butter""]","[""Cook beef until brown."", ""Drain and add remaining ingredients. Bake for 1 hour, uncovered.""]","[""ground beef"", ""tomatoes"", ""rice"", ""butter""]"
Mushroom Appetizer,"[""1 pkg. mushrooms, cleaned and stems removed"", ""1 lb. bacon, cooked and crumbled"", ""8 oz. cream cheese, softened""]","[""Mix cream cheese, bacon and mushroom caps. Broil about 10 minutes or until clear liquid seeps from mushrooms."", ""Serve hot.""]","[""mushrooms"", ""bacon"", ""cream cheese""]"
Sun-Dried Tomato Dip,"[""1 (7 oz.) jar sun-dried tomatoes (oil packed)"", ""1 (8 oz.) pkg. cream cheese, softened"", ""2 or 3 cloves garlic""]","[""Drain tomatoes, reserving 1 tablespoon oil."", ""In food processor, place oil, tomatoes, cheese and garlic."", ""Process until well blended, stopping once to scrape down sides."", ""Serve with pita chips or bagel chips."", ""Also good with raw vegetables.""]","[""tomatoes"", ""cream cheese"", ""garlic""]"
Cream Cheese Cookies,"[""1 (3 oz.) pkg. cream cheese"", ""1/4 lb. butter"", ""1 c. sifted flour"", ""jam""]","[""Combine first 3 ingredients."", ""Divide dough in half and chill. Roll out 1/2 at a time, about 1/4-inch thick."", ""Cut with small round cutter."", ""Place 1/2 teaspoon jam on each cookie."", ""Bake on ungreased sheet in moderate oven, 350\u00b0, for 20 minutes."", ""Makes about 2 dozen cookies.""]","[""cream cheese"", ""butter"", ""flour""]"
Mayonnaise Rolls,"[""2 c. self-rising flour"", ""1 c. (sweet) milk"", ""2 Tbsp. mayonnaise""]","[""Preheat oven to 450\u00b0."", ""In a mixing bowl, mix all the ingredients together."", ""Put them in a well-greased muffin pan and bake until golden brown."", ""Makes about 1 dozen.""]","[""flour"", ""milk"", ""mayonnaise""]"
Meat Loaf Dinner,"[""2 to 3 lbs. of ground beef"", ""2 tbsp. of spicy mustard"", ""3 tbsp. ketchup"", ""1/2 onion"", ""1 egg"", ""4 slices loaf bread""]","[""Preheat oven 375\u00b0. Mix up all ingredients and cook about 45 minutes. Cut"", ""the middle and if it is grey it is done.""]","[""ground beef"", ""mustard"", ""ketchup"", ""onion"", ""egg"", ""bread""]"
Fried Potatoes,"[""1 lb. bacon"", ""3 sticks celery, diced"", ""1 large onion, diced"", ""6 to 7 potatoes (red), sliced""]","[""Cut bacon into 1-inch pieces."", ""Lightly brown. Add all other items and fry. Salt and pepper to taste."", ""Cabbage may be added halfway through cooking potatoes. Add 1/2 stick butter. Cover and complete cooking.""]","[""bacon"", ""celery"", ""onion"", ""potatoes""]"
E-Z Dinner Muffins,"[""2 c. White Lily self-rising flour"", ""1 c. milk"", ""2 heaping tsp. mayonnaise""]","[""Mix ingredients together in a bowl."", ""Grease muffin pans well. Spoon into pans."", ""Bake at 350\u00b0 to 375\u00b0 for 8 to 10 minutes or until golden brown.""]","[""flour"", ""milk"", ""mayonnaise""]"
Framed Eggs,"[""1 slice bread"", ""1 egg"", ""butter""]","[""Butter skillet."", ""Cut hole in center of bread with a glass. Cook separately in skillet."", ""When golden brown, turn over."", ""Take one egg and scramble in bowl."", ""Pour egg in hole of bread."", ""Cover hole of bread with center of bread."", ""Cook until egg is done. Makes 1 serving.""]","[""bread"", ""egg"", ""butter""]"
May'S Muffins,"[""1 c. self-rising flour"", ""1 Tbsp. mayonnaise"", ""1/2 c. milk""]","[""Mix flour, mayonnaise and milk; stir until smooth."", ""Spoon into 6 well-greased muffin cups."", ""Bake at 425\u00b0 for 20 minutes.""]","[""flour"", ""mayonnaise"", ""milk""]"
Taco Salad,"[""2 oz. cream cheese, softened"", ""1 (16 oz.) carton sour cream"", ""1/4 c. minced onion or to your taste""]","[""Mix together with mixer until smooth."", ""Arrange on large glass cake plate.""]","[""cream cheese"", ""sour cream"", ""onion""]"
Rugelach,"[""1/2 lb. butter (room temperature)"", ""1/2 lb. cream cheese (room temperature)"", ""2 1/2 c. flour""]","[""Combine all."", ""Separate into 4 balls."", ""Refrigerate until you want to make them."", ""Dough can be frozen."", ""Roll out into round (doesn't have to be perfect)."", ""Cut into 4 triangles, then cut each into 3 (total of 12 triangles).""]","[""butter"", ""cream cheese"", ""flour""]"
Quick And Easy Rolls,"[""2 c. self-rising flour"", ""4 Tbsp. mayonnaise"", ""1 c. milk""]","[""Stir until well mixed."", ""Drop by spoonfuls into greased muffin tins, filling each cup half full."", ""Bake for 10 to 12 minutes at 400\u00b0 or until golden brown.""]","[""flour"", ""mayonnaise"", ""milk""]"
Tiny Cream Cheese Biscuits,"[""1 (8 ounce) package cream cheese softened"", ""1/2 cup butter or margarine softened"", ""1 cup self rising flour""]","[""Beat cream cheese and butter at medium speed of an electric mixer 2 minutes or until creamy. Gradually add flour beating at low speed just until well blended. Spoon dough into ungreased miniature 1"", ""2/4 inch muffin pans, filling full. Bake at 400 degree for 15 to 17 minutes or until golden brown. Serve hot. Yields 1"", ""1/2 dozen""]","[""cream cheese"", ""butter"", ""flour""]"
Angel Muffins,"[""1 c. self-rising flour"", ""2 Tbsp. mayonnaise"", ""1/2 c. milk""]","[""Stir all ingredients together and fill lightly greased muffin tins half full."", ""Bake at 375\u00b0 for about 15 to 20 minutes or until lightly browned."", ""Yum-yum-make all!"", ""Won't last long or go far; better double this recipe!""]","[""flour"", ""mayonnaise"", ""milk""]"
Swiss Steak,"[""6 Tbsp. seasoned flour"", ""2 lb. round steak (1 1/2 inches thick)"", ""2 c. cooked tomatoes"", ""1 onion, chopped"", ""1 stalk celery, chopped""]","[""Pound flour into sides of steak."", ""Brown in hot fat in heavy skillet."", ""Add tomatoes, onion and celery."", ""Cover."", ""Cook over low heat or in 300\u00b0 oven for 2 to 2 1/2 hours."", ""Uncover the last 30 minutes to cook down the sauce until thick."", ""Serve hot.""]","[""flour"", ""tomatoes"", ""onion"", ""celery""]"
Stuffed Mushrooms,"[""2 pt. or 1 qt. mushrooms"", ""12 oz. pkg. bacon"", ""8 oz. cream cheese""]","[""Clean mushrooms."", ""Cook bacon until crispy."", ""Pop out stems on mushrooms."", ""Mix cream cheese and bacon."", ""Fill tops of mushrooms with cream cheese mixture."", ""Grease cookie sheet with bacon grease. Place mushrooms on pan and bake for 20 minutes.""]","[""mushrooms"", ""bacon"", ""cream cheese""]"
Scalloped Potatoes,"[""6 medium potatoes, sliced"", ""3 Tbsp. butter"", ""1 onion, chopped"", ""1 c. milk"", ""6 slices bacon""]","[""Put bacon, potatoes and onion in baking dish."", ""Add butter, milk, salt and pepper."", ""Bake at 350\u00b0 until potatoes are tender.""]","[""potatoes"", ""butter"", ""onion"", ""milk"", ""bacon""]"
Finger Steaks,"[""round steak (enough for family)"", ""milk"", ""egg"", ""crushed Frosted Flakes"", ""flour""]","[""Trim round steaks and slice in desired size."", ""Dip into egg and milk mixture, then roll in Frosted Flakes and flour (mixed together, just enough flour to make Frosted Flakes stick)."", ""Fry in butter (using margarine or oil gives a different taste).""]","[""milk"", ""egg"", ""flour""]"
Dedy'S Mayo Muffs,"[""1 c. self-rising flour"", ""1/2 c. milk"", ""2 Tbsp. mayonnaise""]","[""Combine ingredients and mix just until moistened. Fill greased muffin tins. Bake at 425\u00b0 for 10 minutes or until lightly browned. Makes 6 muffins.""]","[""flour"", ""milk"", ""mayonnaise""]"
Mayonnaise Biscuits,"[""2 c. self-rising flour"", ""1 c. milk"", ""4 tsp. mayonnaise""]","[""Mix ingredients together; drop into a greased muffin pan. Bake at 425\u00b0 for 10 to 12 minutes.""]","[""flour"", ""milk"", ""mayonnaise""]"
Petite Pecan Pies,"[""1 stick butter"", ""1 (3 oz.) pkg. cream cheese"", ""1 c. flour""]","[""Divide into walnut size balls and shape into muffin tin.""]","[""butter"", ""cream cheese"", ""flour""]"
Pecan Tart,"[""4 c. flour"", ""12 oz. cream cheese"", ""1 lb. butter""]","[""Combine flour, cream cheese and butter."", ""Form balls about the size of walnuts."", ""Drop in small muffin tins, making a shell.""]","[""flour"", ""cream cheese"", ""butter""]"
Butter Muffins,"[""2 sticks butter"", ""2 c. self-rising flour"", ""8 oz. sour cream""]","[""Mix butter and sour cream."", ""Add flour."", ""Bake in small muffin tins at 375\u00b0 for 20 minutes.""]","[""butter"", ""flour"", ""sour cream""]"
Quick Rolls,"[""1 c. flour"", ""1 c. milk"", ""2 Tbsp. mayonnaise""]","[""Mix all ingredients and pour into muffin pans (greased)."", ""Bake at 425\u00b0 for about 15 minutes.""]","[""flour"", ""milk"", ""mayonnaise""]"
Deluxe Scalloped Potatoes,"[""1 (5 5/8 oz.) pkg. scalloped potatoes"", ""1 (3 oz.) pkg. cream cheese, diced"", ""1 (2 or 3 oz.) can sliced mushrooms, drained""]","[""Prepare scalloped potatoes as directed on package, except omit butter."", ""Stir in diced cream cheese and mushrooms."", ""Bake at 400\u00b0 for 35 minutes or until potatoes are tender."", ""Serves 5 to 6.""]","[""potatoes"", ""cream cheese"", ""mushrooms""]"
Mashed Potatoes,"[""5 lb. potatoes"", ""1 stick butter"", ""1 (8 oz.) cream cheese"", ""1 (4 oz.) sour cream""]","[""Peel and boil potatoes."", ""Drain water and add butter, cream cheese and sour cream."", ""Mash or mix with mixer."", ""Put in a casserole dish."", ""Bake at 350\u00b0 for about 30 minutes.""]","[""potatoes"", ""butter"", ""cream cheese"", ""sour cream""]"
Hashed Brown Rice,"[""3 c. cooked rice"", ""3 Tbsp. flour"", ""1/4 c. milk"", ""2 Tbsp. butter or margarine"", ""1/2 c. chopped onion""]","[""Combine the rice, flour and milk. Heat butter in a 10-inch skillet. Add onions and cook until tender. Spread the rice mixture evenly in the skillet. Press it down firmly with a spatula. Cook over medium heat until bottom is golden brown. Turn out onto serving dish, brown side up. Serves 4.""]","[""rice"", ""flour"", ""milk"", ""butter"", ""onion""]"
Amish Stewing Noodles,"[""1 c. flour"", ""1 egg, well beaten"", ""2 Tbsp. milk""]","[""Make a soft dough by combining all ingredients (add more milk if necessary)."", ""Turn dough onto a floured surface and knead until well worked."", ""Roll dough out as thin as possible and cut into strips about 1/2-inch wide and 2 inches long."", ""Let dry about 1 hour."", ""These noodles are great in soups and stews or great as dumplings.""]","[""flour"", ""egg"", ""milk""]"
Granny'S Easy Biscuits,"[""2 c. self-rising flour"", ""1 c. milk"", ""3 Tbsp. mayonnaise""]","[""Mix all ingredients together. Shape dough into biscuits and place in a greased pan. Bake in 450\u00b0 oven until done.""]","[""flour"", ""milk"", ""mayonnaise""]"
Party Potatoes,"[""5 lb. potatoes"", ""2 c. sour cream"", ""8 oz. cream cheese"", ""1 stick butter or margarine""]","[""Wash, peel, slice and cook potatoes until soft."", ""Turn into an electric mixer bowl and add sour cream, cream cheese and butter or margarine."", ""Beat until smooth."", ""Spoon into a greased 2-quart casserole dish."", ""Bake at 375\u00b0 for 45 minutes."", ""Can be made ahead and refrigerated until ready to bake.""]","[""potatoes"", ""sour cream"", ""cream cheese"", ""butter""]"
Texas Quick Dip,"[""2 pkg. (8 oz. each) cream cheese, softened"", ""1/2 c. sour cream"", ""1 (8 oz.) jar mild or medium salsa""]","[""In medium-sized bowl, beat cream cheese until smooth."", ""Add sour cream."", ""Fold in salsa."", ""Store in refrigerator, but serve at room temperature."", ""Serve with chips or vegetables.""]","[""cream cheese"", ""sour cream"", ""salsa""]"
Infallible Rice,"[""1 medium onion, minced"", ""2 Tbsp. butter or margarine"", ""1 c. rice (raw, white long grain)"", ""2 c. chicken broth (hot)""]","[""Saute onion in butter until transparent."", ""Combine onion, rice and hot broth."", ""Bring to a boil on top of range."", ""Cover and cook in a 325\u00b0 oven for 20 minutes."", ""Makes 4 to 6 servings.""]","[""onion"", ""butter"", ""rice"", ""chicken broth""]"
Bacon And Tomato Dip,"[""1 c. Hellmann's mayonnaise"", ""1 c. sour cream"", ""1/2 lb. bacon, fried and crumbled"", ""2 large tomatoes, chopped""]","[""Combine mayonnaise, sour cream and bacon. Mix well. Add tomatoes last. Serve with corn chips.""]","[""mayonnaise"", ""sour cream"", ""bacon"", ""tomatoes""]"
Tassies,"[""2 c. plain flour"", ""2 (3 oz.) cream cheese"", ""2 sticks butter""]","[""Let cheese and butter set out at room temperature until it gets soft."", ""Mix with flour and make out into 1-inch balls."", ""Should make 48 balls."", ""Spray pan with Pam!!"", ""Put into little muffin pans and press to fit pan.""]","[""flour"", ""cream cheese"", ""butter""]"
Pecan Tarts,"[""1/2 c. butter or margarine"", ""3 oz. cream cheese"", ""1 c. flour""]","[""Mix and shape in small muffin pans.""]","[""butter"", ""cream cheese"", ""flour""]"
Lemon Chicken,"[""4 boneless, skinless chicken breasts"", ""lite soy sauce"", ""1 lemon"", ""2 cloves garlic""]","[""Note:"", ""This recipe is quick and great for diets!""]","[""chicken breasts"", ""soy sauce"", ""lemon"", ""garlic""]"
Mushroom Turnovers,"[""3 (3 oz.) pkg. softened cream cheese"", ""1/2 c. soft butter"", ""1 1/2 c. flour""]","[""Mix cheese and butter thoroughly."", ""Add flour and work in well until smooth."", ""Chill at least 30 minutes.""]","[""cream cheese"", ""butter"", ""flour""]"
Patty Shells,"[""3 oz. pkg. cream cheese"", ""1 stick butter"", ""1 1/2 c. flour""]","[""Combine ingredients and shape into shells."", ""Bake at 325\u00b0 to 350\u00b0 until brown.""]","[""cream cheese"", ""butter"", ""flour""]"
Microwave Potatoes,"[""4 potatoes"", ""1 stick butter or oleo"", ""1 onion, chopped""]","[""Put 3 pats of butter on bottom of dish. Cut potatoes into chunks. Put onion over potatoes. Add rest of butter on top of onion. Cover and cook for 12 minutes on High. Stir them and cook for 7 more minutes.""]","[""potatoes"", ""butter"", ""onion""]"
Mashed Potato Casserole,"[""12 large potatoes, cooked, mashed and salted"", ""8 oz. cream cheese"", ""1/2 c. milk""]","[""Beat all ingredients well."", ""Put into casserole."", ""Refrigerate a day or two or freeze."", ""Dice 2 sticks oleo on top and bake until bubbly hot in 350\u00b0 oven, approximately 1/2 hour."", ""Bake uncovered.""]","[""potatoes"", ""cream cheese"", ""milk""]"
Teatime Tassies,"[""2 (3 oz.) pkg. cream cheese"", ""1 c. butter"", ""2 c. flour""]","[""Mix pastry dough with hands."", ""Roll into big ball."", ""Chill 1 hour."", ""Mix into 1 inch balls and press to fit small ungreased muffin tin."", ""(May spray lightly with Pam.)""]","[""cream cheese"", ""butter"", ""flour""]"
Party Biscuits,"[""8 oz. sour cream"", ""2 sticks soft butter"", ""2 c. self-rising flour""]","[""Cream the margarine or butter with the sour cream."", ""Mix in the self-rising flour."", ""Grease muffin tins or spray with no-stick. Fill small muffin tins about 1/2 full."", ""Bake in 350\u00b0 oven about 15 or 20 minutes."", ""Check for browning to suit you.""]","[""sour cream"", ""butter"", ""flour""]"
Barbecued Meatballs,"[""1 lb. ground beef"", ""1/3 c. ketchup"", ""2 slices bread""]","[""Wet bread in warm water."", ""Mix with beef and ketchup; shape into balls.""]","[""ground beef"", ""ketchup"", ""bread""]"
Quick Muffins,"[""1 c. self-rising flour"", ""1/2 c. milk"", ""2 Tbsp. mayonnaise""]","[""Drop from spoon into muffin pan."", ""Bake at 400\u00b0 for 12 minutes.""]","[""flour"", ""milk"", ""mayonnaise""]"
*Easy Biscuits,"[""2 c. self-rising flour"", ""1 c. milk"", ""4 Tbsp. mayonnaise""]","[""Combine flour, milk and mayonnaise in bowl; mix well."", ""Fill greased muffin cups."", ""Bake at 450\u00b0 for 15 minutes or until golden brown."", ""Yields 12 servings.""]","[""flour"", ""milk"", ""mayonnaise""]"
Pecan Tarts,"[""1 1/2 sticks butter"", ""1 1/2 c. flour"", ""1 1/3 pkg. cream cheese (small size)""]","[""Mix ingredients well and press into small tins.""]","[""butter"", ""flour"", ""cream cheese""]"
Potato Pancakes,"[""2 large potatoes, peeled"", ""1 egg, beaten"", ""3 Tbsp. flour""]","[""Grate potatoes and add beaten egg and flour and mix."", ""Drop by tablespoon in hot oil."", ""Cook in oil until golden brown on both sides."", ""Good with applesauce.""]","[""potatoes"", ""egg"", ""flour""]"
